TSid,dataSetName,variableName,spreadsheetKey,worksheetKey
Arc_070,Arc-HalletLake.McKay.2008,thickness,?,?
Arc_071,Arc-HalletLake.McKay.2009,duration,,
Arc_072,Arc-HalletLake.McKay.2010,BSi,,
Arc_073,Arc-HalletLake.McKay.2011,temperature,,
Arc_074,Arc-HalletLake.McKay.2012,uncertainty.temperature,,
LPD09ca5f8f,Africa-ColdAirCave.Sundqvist.2013,year,,
LPD13cec52d,Africa-LakeTanganyi.Tierney.2010,year,,
LPDc435dc77,Ant-105thkm.Vladimirova.2014,year,,
LPD4ac7774a,Ant-Ant2kicecoreGomezPeninsula,year,,
LPDeeb4a223,Ant-Ant2kicecoreIND25B5Coastal DML,year,,
LPD271cbe8a,Ant-Ant2kicecoreITASE 005FWestAnt,year,,
LPDe74f05f6,Ant-Ant2kicecoreITASSE 001AWAIS Divide,year,,
LPD52e25e89,Ant-BerknerIslan.Mulvaney.2002,year,,
LPD7a080d5d,Ant-CoastalDML.Thamban.2006,year,,
LPD47e000a9,Ant-DSS.Moy.2012,year,,
LPD1c9112c1,Ant-DomeC.Jouzel.2001,year,,
LPD441daba8,Ant-DomeC.Stenni.2001,year,,
LPD5a120ff2,Ant-DomeF.Horiuchi.2008,year,,
LPD7a4b774b,Ant-DomeF.Watanabe.1997,year,,
LPDeb6e47f4,Ant-Ferrigno.Thomas.2013,year,,
LPD4e15939c,Ant-HerculesN.Stenni.1999,year,,
LPD8ac3918d,Ant-JamesRossIsl.Mulvaney.2012,year,,
LPDe84ae8f3,Ant-MES.Bertler.2012,year,,
LPD15675a16,Ant-PlateauRemot.Cole-Dai.1996,year,,
LPD55194204,Ant-SipleStation.Mosley-Thompson.1990,year,,
LPD7d0e2dce,Ant-SiteDML05.Graf.2000,year,,
LPD28627938,Ant-SiteDML07.Graf.2000,year,,
LPDf8a604c5,Ant-SiteDML17.Graf.2000,year,,
LPD186b8cc3,Ant-TALDICE.Stenni.2011,year,,
LPD2c90e879,Ant-TalosDome.Stenni.2002,year,,
LPDbd61b5d6,Ant-TaylorDome.Steig.2000,year,,
LPDd32d0ab7,Ant-USITASE19991.Steig.2013,year,,
LPD6f67255e,Ant-USITASE20001.Steig.2013,year,,
LPD456b2d17,Ant-USITASE20002,year,,
LPD0ba3a7d7,Ant-USITASE20003,year,,
LPDe7684e74,Ant-USITASE20004.Steig.2013,year,,
LPDce2e9147,Ant-USITASE20004.Steig.2013,year,,
LPDff2ff8c2,Ant-USITASE20005.Steig.2013,year,,
LPD7ecfa0de,Ant-USITASE20006,year,,
LPDabb6a2b0,Ant-USITASE20011,year,,
LPD401ca5f0,Ant-USITASE20012,year,,
LPD76cc3879,Ant-USITASE20013,year,,
LPDbb4aa228,Ant-USITASE20014,year,,
LPDf573b48a,Ant-USITASE20015.Steig.2013,year,,
LPDef7224d4,Ant-USITASE20021,year,,
LPDc4e53498,Ant-USITASE20022,year,,
LPD5d77e4bb,Ant-USITASE20024.Steig.2013,year,,
LPD67107ce2,Ant-VLG.Bertler.2011,year,,
LPD77052c58,Ant-Vostok.Ekaykin.2014,year,,
LPD294aab71,Ant-WDC05A.Steig.2013,year,,
LPD3e2d7f17,Ant-WDC06A.Steig.2013,year,,
LPD1f0ccd16,Ant-WHG,year,,
LPD4c7e3422,Arc-Agassiz.Vinther.2008,year,,
LPDd772d958,Arc-AkademiiNauk.Opel.2013,year,,
LPD61423470,Arc-Arjeplog.Bjorklund.2014,year,,
LPDef885e61,Arc-Armarnaes.Bjorkelund.2013,year,,
LPDc64612ff,Arc-Austfonna.Isaksson.2005,year,,
LPD7136c002,Arc-Avam-Taimyr.Briffa.2008,year,,
LPDaba775b3,Arc-Bird2009,year,,
LPDa369c1ec,Arc-BrayaSo.DAndrea.2011,year,,
LPD877588cc,Arc-Briffa2008 Yam,year,,
LPD96c75ed7,Arc-Clegg2010,year,,
LPD973583d3,Arc-Cook2009,year,,
LPD32375e73,Arc-Crete.Vinther.2010,year,,
LPDef714694,Arc-DArrigo2005,year,,
LPD9b315578,Arc-DArrigo2006 Yuk,year,,
LPD14c0eb87,Arc-DArrigo2009 Cop,year,,
LPD47f78389,Arc-Dansgaard1969,year,,
LPDa66f0eec,Arc-Divine2001,year,,
LPD145a2b1a,Arc-Dye.Vinther.2010,year,,
LPD8cbee5a3,Arc-Esper2002,year,,
LPD0b88e99d,Arc-Fisher1983,year,,
LPDc734e082,Arc-Forfjordalen.Loader.2013,year,,
LPDfb881a01,Arc-GISP2.Grootes.1997,year,,
LPD81ccb2a8,Arc-GRIP.Vinther.2010,year,,
LPDfac77d12,Arc-GulfofAlaska.Gregory.2014,year,,
LPD26dc1687,Arc-HalletLake.McKay.2008,year,,
LPDa9470f21,Arc-HalletLake.McKay.2008,age,,
